country_region,region,continent,iso3c,income_group,pais_region,continente,region_es,grupo_ingreso,pais_nombre_corto
Afghanistan,South Asia,Asia,AFG,Low income,Afganistán,Asia,Asia del Sur,Ingreso bajo,Afganistán
Albania,Europe & Central Asia,Europe,ALB,Upper middle income,Albania,Europa,Europa y Asia Central,Ingreso medio alto,Albania
Algeria,Middle East & North Africa,Africa,DZA,Upper middle income,Argelia,Africa,Oriente Medio y Africa del Norte,Ingreso medio alto,Argelia
Andorra,Europe & Central Asia,Europe,AND,High income,Andorra,Europa,Europa y Asia Central,Ingreso alto,Andorra
Angola,Sub-Saharan Africa,Africa,AGO,Lower middle income,Angola,Africa,Africa subsahariana,Ingreso medio bajo,Angola
Antigua and Barbuda,Latin America & Caribbean,Americas,ATG,High income,Antigua y Barbuda,América,América Latina y el Caribe,Ingreso alto,Antigua y Barbuda
Argentina,Latin America & Caribbean,Americas,ARG,Upper middle income,Argentina,América,América Latina y el Caribe,Ingreso medio alto,Argentina
Armenia,Europe & Central Asia,Europe,ARM,Upper middle income,Armenia,Europa,Europa y Asia Central,Ingreso medio alto,Armenia
Australia,East Asia & Pacific,Oceania,AUS,High income,Australia,Oceanía,Asia oriental y el Pacífico,Ingreso alto,Australia
Austria,Europe & Central Asia,Europe,AUT,High income,Austria,Europa,Europa y Asia Central,Ingreso alto,Austria
Azerbaijan,Europe & Central Asia,Asia,AZE,Upper middle income,Azerbaiyán,Asia,Europa y Asia Central,Ingreso medio alto,Azerbaiyán
Bahamas,Latin America & Caribbean,Americas,BHS,High income,Bahamas,América,América Latina y el Caribe,Ingreso alto,Bahamas
Bahrain,Middle East & North Africa,Asia,BHR,High income,Bahrein,Asia,Oriente Medio y Africa del Norte,Ingreso alto,Bahrein
Bangladesh,South Asia,Asia,BGD,Lower middle income,Bangladesh,Asia,Asia del Sur,Ingreso medio bajo,Bangladesh
Barbados,Latin America & Caribbean,Americas,BRB,High income,Barbados,América,América Latina y el Caribe,Ingreso alto,Barbados
Belarus,Europe & Central Asia,Europe,BLR,Upper middle income,Belarús,Europa,Europa y Asia Central,Ingreso medio alto,Belarús
Belgium,Europe & Central Asia,Europe,BEL,High income,Bélgica,Europa,Europa y Asia Central,Ingreso alto,Bélgica
Belize,Latin America & Caribbean,Americas,BLZ,Upper middle income,Belice,América,América Latina y el Caribe,Ingreso medio alto,Belice
Benin,Sub-Saharan Africa,Africa,BEN,Low income,Benin,Africa,Africa subsahariana,Ingreso bajo,Benin
Bolivia,Latin America & Caribbean,Americas,BOL,Lower middle income,Bolivia (Estado Plurinacional de),América,América Latina y el Caribe,Ingreso medio bajo,Bolivia
Bosnia and Herzegovina,Europe & Central Asia,Europe,BIH,Upper middle income,Bosnia y Herzegovina,Europa,Europa y Asia Central,Ingreso medio alto,Bosnia y Herzegovina
Botswana,Sub-Saharan Africa,Africa,BWA,Upper middle income,Botswana,Africa,Africa subsahariana,Ingreso medio alto,Botswana
Brazil,Latin America & Caribbean,Americas,BRA,Upper middle income,Brasil,América,América Latina y el Caribe,Ingreso medio alto,Brasil
Brunei,South Asia,Asia,BRN,High income,Brunei Darussalam,Asia,Asia del Sur,Ingreso alto,Brunei Darussalam
Bulgaria,Europe & Central Asia,Europe,BGR,Upper middle income,Bulgaria,Europa,Europa y Asia Central,Ingreso medio alto,Bulgaria
Burkina Faso,Sub-Saharan Africa,Africa,BFA,Low income,Burkina Faso,Africa,Africa subsahariana,Ingreso bajo,Burkina Faso
Burma,South Asia,Asia,MMR,Lower middle income,Myanmar,Asia,Asia del Sur,Ingreso medio bajo,Myanmar
Burundi,Sub-Saharan Africa,Africa,BDI,Low income,Burundi,Africa,Africa subsahariana,Ingreso bajo,Burundi
Cabo Verde,Sub-Saharan Africa,Africa,CPV,Lower middle income,Cabo Verde,Africa,Africa subsahariana,Ingreso medio bajo,Cabo Verde
Cameroon,Sub-Saharan Africa,Africa,CMR,Lower middle income,Camerún,Africa,Africa subsahariana,Ingreso medio bajo,Camerún
Canada,North America,Americas,CAN,High income,Canadá,América,América del Norte,Ingreso alto,Canadá
Central African Republic,Sub-Saharan Africa,Africa,CAF,Low income,República Centroafricana,Africa,Africa subsahariana,Ingreso bajo,R. Centroafricana
Chad,Sub-Saharan Africa,Africa,TCD,Low income,Chad,Africa,Africa subsahariana,Ingreso bajo,Chad
Chile,Latin America & Caribbean,Americas,CHL,High income,Chile,América,América Latina y el Caribe,Ingreso alto,Chile
China,East Asia & Pacific,Asia,CHN,Upper middle income,China,Asia,Asia oriental y el Pacífico,Ingreso medio alto,China
Colombia,Latin America & Caribbean,Americas,COL,Upper middle income,Colombia,América,América Latina y el Caribe,Ingreso medio alto,Colombia
Comoros,Sub-Saharan Africa,Africa,COM,Lower middle income,Comoras,Africa,Africa subsahariana,Ingreso medio bajo,Comoras
Congo (Brazzaville),Sub-Saharan Africa,Africa,COG,Lower middle income,Congo,Africa,Africa subsahariana,Ingreso medio bajo,Congo
Congo (Kinshasa),Sub-Saharan Africa,Africa,COD,Low income,República Democrática del Congo,Africa,Africa subsahariana,Ingreso bajo,R.D. Congo
Costa Rica,Latin America & Caribbean,Americas,CRI,Upper middle income,Costa Rica,América,América Latina y el Caribe,Ingreso medio alto,Costa Rica
Cote d'Ivoire,Sub-Saharan Africa,Africa,CIV,Lower middle income,Côte d'Ivoire,Africa,Africa subsahariana,Ingreso medio bajo,Côte d'Ivoire
Croatia,Europe & Central Asia,Europe,HRV,High income,Croacia,Europa,Europa y Asia Central,Ingreso alto,Croacia
Cuba,Latin America & Caribbean,Americas,CUB,Upper middle income,Cuba,América,América Latina y el Caribe,Ingreso medio alto,Cuba
Cyprus,Europe & Central Asia,Europe,CYP,High income,Chipre,Europa,Europa y Asia Central,Ingreso alto,Chipre
Czechia,Europe & Central Asia,Europe,CZE,High income,República Checa,Europa,Europa y Asia Central,Ingreso alto,República Checa
Denmark,Europe & Central Asia,Europe,DNK,High income,Dinamarca,Europa,Europa y Asia Central,Ingreso alto,Dinamarca
